G=6.6743e-11,dt=3600,t_total=2592000
Iteration,Time,Body 1 position (x),Body 1 position (y),Body 1 velocity (x),Body 1 velocity (y),Body 1 acceleration (x),Body 1 acceleration (y),Body 2 position (x),Body 2 position (y),Body 2 velocity (x),Body 2 velocity (y),Body 2 acceleration (x),Body 2 acceleration (y)
0,0,0.0,0.0,0.0,0.0,3.3190065791682045e-05,0.0,384400000.0,0.0,0.0,1022.0,-0.0026974833003256017,0.0
1,3600,0.0,0.0,0.11948423685005537,0.0,3.318550553090735e-05,3.176277626152818e-07,384400000.0,3679200.0,-9.710939881172166,1022.0,-0.0026971126705304673,-2.581482033666934e-05
2,7200,430.1432526601993,0.0,0.23895205676132183,0.0011434599454150146,3.317793638339932e-05,6.35169108787251e-07,384365040.6164278,7358400.0,-19.420545495081846,1021.9070666467879,-0.002696497497028589,-5.1622617279225145e-05
3,10800,1290.370657000958,4.116455803494053,0.3583926277415594,0.0034300687370491184,3.316735870130769e-05,9.525960888091518e-07,384295126.65264547,11037265.439928437,-29.127936484384765,1021.7212252245828,-0.0026956378084405214,-7.742111924834315e-05
4,14400,2580.584116870572,16.46470325687088,0.47779511906626704,0.006859414656762065,3.3153773087199264e-05,1.2698807265887987e-06,384190266.0813017,14715461.850736935,-38.832232594770645,1021.4425091952887,-0.0026945336537391672,-0.00010320805252025458
5,18000,4300.646545509133,41.158596021214315,0.5971487021801843,0.01143098527248174,3.313718039514213e-05,1.5869950217388586e-06,384050470.0439605,18392654.883839972,-48.53255374823165,1021.0709602062158,-0.002693185102337899,-0.00012898114139663126
6,21600,6450.381873357796,82.31014300214858,0.716442551602696,0.017144167350741632,3.311758173177511e-05,1.9039109516960325e-06,383875752.8504669,22068510.34058235,-58.22802011664808,1020.6066280971879,-0.002691592244177477,-0.00015473810837681964
7,25200,9029.575059127503,144.02914546481844,0.8356658458370864,0.02399824677684735,3.3094978457362474e-05,2.2206004738691285e-06,383666131.97804695,25742694.201732226,-67.917752195687,1020.0495709070314,-0.002689755189811768,-0.0001804766743324229
8,28800,12037.972104141014,230.42283386146892,0.9548077682835913,0.031992408482776215,3.306937218683288e-05,2.537035527815997e-06,383421628.0701425,29414872.65699754,-77.60087087900936,1019.3998548794347,-0.0026876740704921877,-0.00020619455868422886
9,32400,15475.280069961942,345.59550439946327,1.0738575081561896,0.04112573638291381,3.304076479080194e-05,2.8531880374492787e-06,383142264.93497807,33084712.134563506,-87.27649753278124,1018.6575544681714,-0.0026853490382508054,-0.00023188947958147925
