G=6.6743e-11,dt=1.0,t_total=1000.0
Iteration,Time,Body 1 position (x),Body 1 position (y),Body 1 velocity (x),Body 1 velocity (y),Body 1 acceleration (x),Body 1 acceleration (y),Body 2 position (x),Body 2 position (y),Body 2 velocity (x),Body 2 velocity (y),Body 2 acceleration (x),Body 2 acceleration (y)
0,0.0,3.3190065791682045e-05,0.0,3.3190065791682045e-05,0.0,3.3190065791682045e-05,0.0,384399999.99730253,1022.0,-0.0026974833003256013,1022.0,-0.0026974833003256013,0.0
1,1.0,9.957019737516577e-05,8.824205837529209e-11,6.638013158348372e-05,8.824205837529209e-11,3.319006579180168e-05,8.824205837529209e-11,384399999.99190754,2043.9999999928282,-0.0053949666006609266,1021.9999999928282,-0.002697483300335325,-7.171768816239037e-09
2,2.0,0.00019914039475033853,3.5296823350245e-10,9.957019737517276e-05,2.647261751271579e-10,3.319006579168905e-05,1.764841167518658e-10,384399999.9838151,3065.9999999713127,-0.008092449900987097,1021.9999999784847,-0.002697483300326171,-1.4343537632582238e-08
3,3.0,0.0003319006579168554,8.8242058375873e-10,0.0001327602631665169,5.2945235025628e-10,3.319006579134412e-05,2.6472617512912206e-10,384399999.97302514,4087.999999928282,-0.010789933201285235,1021.9999999569693,-0.002697483300298137,-2.151530644898091e-08
4,4.0,0.0004978509868741393,1.764841167521472e-09,0.0001659503289572838,8.824205837627419e-10,3.319006579076691e-05,3.5296823350646183e-10,384399999.95953774,5109.999999856564,-0.01348741650153646,1021.9999999282823,-0.0026974833002512254,-2.868707526538637e-08
5,5.0,0.0006969913816213804,3.0884720431675006e-09,0.00019914039474724124,1.3236308756460284e-09,3.319006578995744e-05,4.4121029188328653e-10,384399999.9433528,6131.999999748987,-0.016184899801721896,1021.9999998924234,-0.0026974833001854365,-3.585884408174996e-08
6,6.0,0.0009293218421575374,4.941555269072525e-09,0.00023233046053615692,1.853083225905025e-09,3.319006578891568e-05,5.294523502589968e-10,384399999.9244704,7153.99999959838,-0.018882383101822664,1021.9999998493928,-0.002697483300100769,-4.3030612898022986e-08
7,7.0,0.001194842368481336,7.412332903610544e-09,0.00026552052632379856,2.4707776345380187e-09,3.319006578764164e-05,6.176944086329935e-10,384399999.90289056,8175.999999397571,-0.021579866401819886,1021.9999997991904,-0.0026974832999972225,-5.020238171415675e-08
8,8.0,0.0014935529605912697,1.058904700515324e-08,0.0002987105921099339,3.176714101542697e-09,3.3190065786135334e-05,7.059364670046784e-10,384399999.87861323,9197.999999139387,-0.024277349701694685,1021.9999997418163,-0.002697483299874799,-5.737415053010262e-08
9,9.0,0.0018254536184856003,1.455993963206939e-08,0.00033190065789433064,3.9708926269161496e-09,3.319006578439675e-05,7.941785253734521e-10,384399999.8516384,10219.999998816656,-0.026974833001428184,1021.9999996772704,-0.002697483299733498,-6.454591934581188e-08
