G=6.6743e-11,dt=3600,t_total=2592000
Iteration,Time,Body 1 position (x),Body 1 position (y),Body 1 velocity (x),Body 1 velocity (y),Body 1 acceleration (x),Body 1 acceleration (y),Body 2 position (x),Body 2 position (y),Body 2 velocity (x),Body 2 velocity (y),Body 2 acceleration (x),Body 2 acceleration (y)
0,0,430.1432526601993,0.0,0.11948423685005537,0.0,3.3190065791682045e-05,0.0,384365040.6164278,3679200.0,-9.710939881172164,1022.0,-0.0026974833003256013,0.0
1,3600,1290.449847868725,4.117592844865347,0.23897405422459045,0.001143775790240374,3.319161593737085e-05,3.177154972889928e-07,384295120.2165015,7358065.347516745,-19.4223333128641,1021.9070409768738,-0.0026976092865810936,-2.582195086839773e-05
2,7200,2580.900840831039,16.471146226237227,0.3584586091561984,0.003431542605936633,3.319015414766888e-05,6.354907821378496e-07,384190240.3399368,11036261.327092228,-29.13329904573785,1021.721105437634,-0.0026974904813538187,-5.1648760899935206e-05
3,10800,4301.438231694956,41.17944000552747,0.47792705301775457,0.0068634149386917346,3.318567885043226e-05,9.532978702097504e-07,384050405.7006031,14713453.189769829,-38.84295537046857,1021.4421840771113,-0.002697126756869645,-7.74781557007707e-05
4,14400,6451.9649484013335,82.3613030801383,0.5973685324184382,0.01143940640961412,3.317818872241212e-05,1.2711087419228848e-06,383875624.1879171,18389306.182607587,-48.550420190567685,1021.070275788266,-0.0026965180055830867,-0.00010330785801256763
5,18000,9032.344832769819,144.1352498187216,0.716772190102357,0.017159429649606473,3.3167682689977435e-05,1.5888953444423204e-06,383665906.8679736,22063485.57822649,-58.25481109541748,1020.6053876719183,-0.0026956641402360545,-0.0001291355878743813
6,21600,12042.402629828855,230.6191160914728,0.8361271658497323,0.024023296186875324,3.315415992982647e-05,1.906629593685792e-06,383421267.98441297,25735656.704391696,-67.95524543351391,1020.0475350458898,-0.0026945650939156737,-0.00015495906278567708
7,25200,15481.923980399033,345.92969492163536,0.9554225973806049,0.032030716341711826,3.31376198696868e-05,2.2242833763434734e-06,383141724.95902365,29405484.973624498,-77.65084038591417,1019.396741453556,-0.0026932208201111817,-0.00018077599787048483
8,28800,19350.655416938695,494.1823717845741,1.074647621261017,0.041181299128594105,3.3118062189003374e-05,2.541828551911744e-06,382827298.39208007,33072635.912842985,-87.3407130398856,1018.6530386718024,-0.0026916312927698447,-0.00020658410604269107
9,32400,23648.30436266056,679.4907595809566,1.1937913738116297,0.0514745521656618,3.309548681961467e-05,2.859236954741025e-06,382478012.06241417,36736775.19302916,-97.0239804627525,1017.8164667183814,-0.002689796506351917,-0.0002323810981724742
10,36000,28374.539133927985,905.9663333107649,1.3128429920187286,0.0629098815916134,3.306989394641635e-05,3.176480396097666e-06,382093892.9272208,40397568.65892036,-106.69975977593697,1016.8870738586675,-0.002687716475884574,-0.00025816468325388225
11,39600,33528.98894593925,1177.7180644750429,1.431791614447573,0.07548659199007723,3.304128400801238e-05,3.493530666239954e-06,381674971.12159574,44054682.35872285,-116.36716822919037,1015.8649166118026,-0.002685391237014833,-0.00028393256857355757
12,43200,39111.243921708214,1498.8520552324676,1.5506263821580448,0.08920388632150689,3.300965769735329e-05,3.8103595365082347e-06,381221279.9578057,47707782.57384529,-126.02532327501152,1014.7500597562324,-0.00268282084606143,-0.00030968245988060943
13,46800,45120.85510434938,1873.4711723380144,1.6693364396225452,0.10406086586265188,3.297501596236119e-05,4.126938761429164e-06,380732855.92429,51356535.84864994,-135.6733426432477,1013.542576334625,-0.0026800053800656106,-0.00033541206155763436
14,50400,51557.33447267532,2305.6746808911716,1.7879109356460947,0.12005653015365478,3.293736000654152e-05,4.4432400808341375e-06,380209738.68439287,55000609.020219356,-145.3103444158748,1012.2425476581706,-0.0026769449368408546,-0.0003611190767928889
15,54000,58420.15496011423,2799.5578779213433,1.9063390242885858,0.13718977695282542,3.289669128958088e-05,4.759235221991842e-06,379651971.0748258,58639669.24813628,-154.93544710195206,1010.8500633102576,-0.0026736396350214627,-0.00038680120775361036
16,57600,65708.75047695513,3359.2117258382596,2.024609865789138,0.15545940219914345,3.2853011527931196e-05,5.074895901755007e-06,379059599.1038599,62273384.04427455,-164.54776971274816,1009.3652211495198,-0.0026700896141100315,-0.0004124561557604914
17,61200,73422.51593592814,3988.7224857754036,2.1427126274925032,0.17486409998254,3.280632269537918e-05,5.390193828721263e-06,378432671.9492466,65901421.30259866,-174.14643183703362,1007.788127312252,-0.002666295034523741,-0.00043808162146330144
18,64800,81560.80728112702,4692.171350854638,2.260636484777469,0.1954024625220095,3.275662702360167e-05,5.705100705408193e-06,377771241.95586705,69523449.32896975,-183.73055371653575,1006.1188962141883,-0.002662256077639483,-0.00046367530501766107
19,68400,90122.94152028099,5473.634079400407,2.3783706219872105,0.21707298015160248,3.27039270027059e-05,6.019588230442496e-06,377075364.63310945,73139136.87095566,-193.29925632155175,1004.3576505516417,-0.0026579729458377746,-0.0004892349062629639
20,72000,99108.19676038249,6337.180628132068,2.4959042333615273,0.23987404131435025,3.264822538175467e-05,6.3336281007632695e-06,376345098.65197325,76748153.14764285,-202.85166142671534,1002.5045213019964,-0.00265344586254544,-0.000514758124901446
21,75600,108515.8122466778,7286.874785363087,2.613226523970921,0.263803932564172,3.258952516927604e-05,6.647192013839373e-06,375580505.84190035,80350167.87944764,-212.38689168691266,1000.5596477235542,-0.002648675072277035,-0.0005402426606783987
22,79200,118344.98840502661,8326.773804236022,2.730326710652448,0.28886083857581524,3.2527829633757515e-05,6.960251669900891e-06,374781651.18733233,83944851.31792465,-221.90407071334272,998.5231773547255,-0.0026436608406750126,-0.0005656862135635292
23,82800,128594.88688763687,9460.928036022387,2.847194022947294,0.31504284216287964,3.246314230412387e-05,7.272778774184555e-06,373948602.8239933,87531874.27556989,-231.40232314971752,996.395266012565,-0.0026384034545485547,-0.0005910864839334536
24,86400,139264.6306221809,10693.3805635167,2.9638177040400104,0.3423479243039753,3.2395466970199024e-05,7.584745039193237e-06,373081432.0348984,91110908.15561621,-240.88077474859753,994.1760777906458,-0.002632903221911113,-0.0006164411727553351
25,90000,150353.3038642986,12028.166834554133,3.080187011699354,0.3707739641770648,3.232480768315098e-05,7.89612218696931e-06,372180213.2460861,94681624.98181877,-250.33855244785718,991.8657850562678,-0.002627160472016572,-0.0006417479817716485
26,93600,161859.952253493,13469.314295681477,3.196291219220666,0.4003187392020398,3.225116875592008e-05,8.206881951381937e-06,371245024.02207595,98243697.42822796,-259.77478444727575,989.4645684469979,-0.0026211755553940492,-0.000667004613686077
27,97200,173783.582872424,15020.84202601117,3.3121196163697335,0.43097992509158123,3.2174554763629824e-05,8.516996080428178e-06,370275945.06104904,101796798.8489475,-269.1886002852484,986.972616866536,-0.0026149488438812923,-0.000692208772350532
28,100800,186123.16430960502,16686.760371288445,3.4276615103280625,0.4627550959103535,3.209497054398031e-05,8.826436338547865e-06,369273060.1897528,105340603.30787516,-278.5791309156123,984.3901274799041,-0.0026084807306566474,-0.0007173581629532916
29,104400,198877.62672550726,18471.07057820174,3.542906226639508,0.4956417241425814,3.2012421197623753e-05,9.135174508952182e-06,368236456.3581283,108874785.6084238,-287.94550878458284,981.7173057079544,-0.0026017716302695845,-0.0007424504922082532
30,108000,212045.86192207673,20377.76442896675,3.6578431101581868,0.5296371807680584,3.1926912088521835e-05,9.443182395965848e-06,367166223.63366026,112399021.32322009,-297.2868679077939,978.9543652211914,-0.002594821978669739,-0.000767483468545292
31,111600,225626.72341566812,22410.823876214643,3.7724615259976115,0.5647387353466369,3.1838448844284686e-05,9.750431827382886e-06,366062455.1954495,115912986.82377855,-306.602343947438,976.1015279329052,-0.002587632233234461,-0.0007924548023017232
32,115200,239619.02651339964,24574.220678215126,3.8867508604809786,0.6009435561112456,3.174703735649085e-05,1.0056894656835772e-05,364925247.3280073,119416359.31014836,-315.89107428949933,973.1590239916118,-0.00258020287279482,-0.0008173622059148508
33,118800,254021.54839293277,26871.916034465277,4.0007005220925365,0.6382487100694865,3.16526837809884e-05,1.0362542766178002e-05,363754699.41477144,122908816.84053043,-325.1521981210756,970.1270917727956,-0.0025725343976600815,-0.0008422033941156103
34,122400,268833.0281856807,29307.860221675153,4.114299942429972,0.6766511631138542,3.155539453817659e-05,1.0667348067879928e-05,362550913.93134344,126390038.36086226,-334.38485650778176,967.0059778699517,-0.002564627329640591,-0.0008669760841232844
35,126000,284052.1670634485,31885.992230181422,4.227538577157736,0.7161477801406299,3.1455176313267584e-05,1.0971282507437683e-05,361313996.438447,129859703.73436798,-343.58819247123034,963.7959370849231,-0.0025564822120690534,-0.0008916779958412881
36,129600,299677.628328509,34610.2394008204,4.340405906961238,0.7567353251774926,3.135203605652837e-05,1.1274318065795214e-05,360044055.5746073,133317493.77107109,-352.761351066583,960.4972324175287,-0.0025480996098201886,-0.000916306852054015
37,133200,315708.03750711563,37484.517062292034,4.452891438501846,0.7984104615198977,3.1245980983502156e-05,1.1576426761779168e-05,358741203.0485507,136763090.2572672,-361.9034794601664,957.1101350544797,-0.0025394801093287277,-0.0009408603786247307
38,136800,332141.98244645697,40512.72816904659,4.5649847053725985,0.8411697518762657,3.113701857520917e-05,1.1877580654546668e-05,357405553.631325,140196175.9849545,-371.01372700714705,953.6349243575794,-0.002530624318605732,-0.0009653363046945118
39,140400,348978.0134150534,43698.7629397259,4.676675269054574,0.8850096585220302,3.102515657832639e-05,1.217775184604567e-05,356037225.14813966,143616434.78121883,-380.0912453292586,950.0718878512034,-0.002521532867253202,-0.0009897323628822094
40,144000,366214.64320659917,47046.49849619121,4.787952719873819,0.9299265434625865,3.091040300534599e-05,1.247691248348786e-05,354636338.46992636,147023551.53757143,-389.1351883925756,946.4213212090559,-0.0025122064064769497,-0.0010140462894854315
41,147600,383850.3472472508,50559.79850316989,4.898806677958782,0.9759166686051888,3.0792766134712054e-05,1.2775034761833974e-05,353203017.5046192,150417212.23923615,-398.1447125853274,942.6835282401988,-0.0025026456090977197,-0.001038275824682533
42,151200,401883.56370636413,54242.51280855331,5.00922679419815,1.0229761959398374,3.0672254510935446e-05,1.3072090926291296e-05,351737389.1881545,153797103.9943838,-407.11897679574525,938.8588208743507,-0.002492851169560513,-0.0010624187127355965
43,154800,420312.69361068064,58098.47708437843,5.119202751199021,1.0711011877292012,3.054887694468631e-05,1.336805327482327e-05,350239583.47519076,157162915.06331104,-416.0571424899369,934.9475191464509,-0.0024828238039421155,-0.001086472702194401
44,158400,439136.1009619638,62131.51246852585,5.228724264245331,1.1202876067076166,3.0422642512863915e-05,1.3662894160670972e-05,348709733.3295475,160514334.88756078,-424.95837378978126,930.949951180486,-0.0024725642499567684,-0.001110435546101348
45,162000,458352.11285808706,66345.42520716699,5.337781082256448,1.1705313162892075,3.0293560558643766e-05,1.3956585994886355e-05,347147974.7143645,163851054.11898205,-433.82183755083724,926.8664531725756,-0.0024620732669599975,-0.0011343050021973505
46,165600,477959.01961757214,70744.00629799359,5.446362988745853,1.2218280807851647,3.0161640691501142e-05,1.4249101248877003e-05,345554446.5819796,167172764.648726,-442.64670344025916,922.6973693733124,-0.0024513516359505293,-0.0011580788331286536
47,169200,497955.07490757946,75331.03113426242,5.554459802779814,1.274173565630229,3.0026892787211405e-05,1.4540412456962322e-05,343929290.8635266,170479159.63617566,-451.43214401471226,918.4430520693559,-0.0024404001595703124,-0.0011817548066545864
48,172800,518338.49587534904,80110.25914968872,5.662061379935988,1.3275633376184162,2.9889326987826184e-05,1.4830492218940839e-05,342272652.4582528,173769933.53780705,-460.17733479828155,914.1038615642735,-0.0024292196621025857,-0.0012053306958562152
49,176400,539107.4632830917,85085.4334642216,5.769157613261839,1.3819928651480227,2.9748953701625397e-05,1.5119313202668459e-05,340584679.22255546,177044782.1359781,-468.88145436036626,909.6801661586284,-0.002417810989467976,-0.0012288042793458906
50,180000,560260.1216463298,90260.28053073504,5.875738434232801,1.4374575184759542,2.960578360304486e-05,1.540684814664762e-05,338865521.9587387,180303402.5676436,-477.5436843935533,905.1723421293087,-0.0024061750092186167,-0.0012521733414776757
51,183600,581794.5793756861,95638.50978266812,5.981793813710085,1.493952569981411,2.9459827632578946e-05,1.569306986262688e-05,337115334.4034894,183545493.35299277,-486.1632097914621,900.5807737080977,-0.0023943126105302327,-0.0012754356725586248
52,187200,603708.9089221191,101223.8132826484,6.087313762898054,1.55147319443897,2.9311096996658014e-05,1.597795123821081e-05,335334273.2160738,186770754.4240069,-494.739218726554,895.9058530594784,-0.0023822247041921842,-0.0012985890690609006
53,190800,626001.1469256029,107019.86537213236,6.192288334301057,1.6100144693010985,2.9159603167500643e-05,1.6261465239480183e-05,333522497.9662534,189978887.15293452,-503.27090272789764,891.1479802576735,-0.0023699122225954525,-0.0013216313338347261
54,194400,648669.2943672496,113030.32232209685,6.29670762267964,1.6695713749901369,2.9005357882939698e-05,1.6543584913621797e-05,331680171.1219214,193169594.380681,-511.75745675888425,886.3075632629138,-0.0023573761197185072,-0.0013445602763221204
55,198000,671711.3167248713,119258.82198481607,6.400561766006041,1.730138795199782,2.8848373146222633e-05,1.6824283391568116e-05,329807458.03645986,196342580.44511,-520.1980792948841,881.3850178969367,-0.0023446173711110722,-0.001367373712771432
56,201600,695125.1441319792,125708.98344675805,6.503840946418868,1.7917115172061084,2.8688661225785264e-05,1.7103533890646233e-05,327904526.9358168,199497551.20925373,-528.5919724008368,876.3807678177072,-0.0023316369738757433,-0.001390069466452631
57,205200,718908.671540216,132384.40668263542,6.606535391176863,1.8542842321881576,2.85262346549987e-05,1.7381309717235872e-05,325971548.90530527,202634214.08942983,-536.9383418087675,871.2952444933633,-0.0023184359466474178,-0.0014126453678733348
58,208800,743059.758885218,139288.6722106447,6.708635373611665,1.9178515355581287,2.8361106231889505e-05,1.7657584269436405e-05,324008697.8761225,205752278.0832612,-545.2363969952215,866.1288871753792,-0.002305015329570552,-0.0014350992549955666
59,212400,767576.231255904,146425.340748929,6.810131214079462,1.9824079273012012,2.8193289018832327e-05,1.7932331039742375e-05,322016150.61159146,208851453.7975966,-553.4853512586086,860.8821428709476,-0.002291376184274179,-0.0014574289734532045
60,216000,792455.8790671851,153797.95287329907,6.911013280911436,2.0479478123250194,2.8022796342215044e-05,1.8205523617727342e-05,319994086.69312423,211931453.4763291,-561.6844217964496,855.5554663145753,-0.002277519593844696,-0.0014796323767701102
61,219600,817696.4582360915,161410.028676247,7.011271991362909,2.114465500818868,2.784964179207583e-05,1.847713569273575e-05,317942688.5059072,214991991.0281091,-569.8328297825165,850.1493199388912,-0.002263446662796365,-0.0015017073265789049
62,223200,843295.6903613114,169265.06742728822,7.110897812561073,2.1819552086225658,2.767383922171223e-05,1.8747141056582622e-05,315862141.22430927,218032782.0539499,-577.9298004438588,844.6641738446658,-0.002249158517039541,-0.0015236516928403842
63,226800,869251.2629061358,177366.5472346666,7.209881262451215,2.250411057605104,2.7495402747261465e-05,1.9015513606260552e-05,313752632.7970135,221053543.87472203,-585.9745631377064,839.1005057700371,-0.0022346563038465636,-0.001545463354063528
64,230400,895560.8293848045,185717.9247084576,7.3082129107413225,2.3198270760530586,2.7314346747252154e-05,1.928222734665401e-05,311614353.93187183,224053995.55853423,-593.9663514282415,833.4588010589431,-0.0022199411918153223,-0.001567140197526099
65,234000,922222.0095522464,194322.63462510527,7.405883379844979,2.390197199068796,2.7130685862126763e-05,1.9547256393260275e-05,309447498.0804842,227033857.94799778,-601.9044031632311,827.7395526287582,-0.0022050143708304444,-0.0015886801194957864
66,237600,949232.3895972072,203184.08959342787,7.502883345822425,2.461515268978497,2.6944434993734844e-05,1.9810574974917086e-05,307252261.4225024,229992853.68737146,-609.7879605505107,821.9432609371314,-0.002189877052022108,-0.00161008102545189
67,241200,976589.5223387581,212305.67972212797,7.599203539319692,2.5337750357500277,2.675560930479645e-05,2.007215743653626e-05,305028842.8496589,232930707.24958435,-617.6162702343114,816.0704339480244,-0.0021745304677224337,-0.0016313408303074931
68,244800,1004290.9274261786,221690.77228884236,7.694834746505701,2.606970157420664,2.6564224218335778e-05,2.033197824184338e-05,302777443.9495218,235847144.96313336,-625.3885833714214,810.1215870969487,-0.002158975871419452,-0.0016524574586321273
69,248400,1032334.0915422045,231342.7114107673,7.789767810007205,2.681094200534706,2.637029541708448e-05,2.0590011976122765e-05,300498268.98897594,238741895.0388528,-633.1041557071724,804.0972432553992,-0.0021432145377086086,-0.0016734288448748665
70,252000,1060716.4686096339,241264.81771689488,7.8839936298414806,2.75614064059099,2.6173838842854514e-05,2.0846233348967746e-05,298191524.8974315,241614687.59655294,-640.7622476512429,797.997932694483,-0.0021272477622417962,-0.0016942529335878525
71,255600,1089435.4800012817,251460.388021896,7.97750316434665,2.832102862500318,2.597487069588031e-05,2.1100617197035695e-05,295857421.24975973,244465254.6915248,-648.3621243532689,791.8241930477423,-0.002111076861673887,-0.001714927679650207
72,259200,1118488.514753276,261932.6950016862,8.070287431109517,2.9089741610528255,2.5773407434129907e-05,2.1353138486807563e-05,293496170.24895805,247293330.34090823,-655.9030557782531,785.57656927317,-0.0020947031736067477,-0.001735451048492308
73,262800,1147872.929781683,272684.9868707092,8.162337507890822,2.9867477413952903,2.5569465772584698e-05,2.1603772317351317e-05,291107986.7085437,250098650.54992014,-663.3843167817637,779.2556136144166,-0.0020781280565307,-0.0017558210163203878
74,266400,1177586.050102455,283720.4870609755,8.253644533547778,3.065416719518412,2.5363062682487873e-05,2.18524939230893e-05,288693088.03467804,252880953.33794042,-670.805187184912,772.8618855611874,-0.0020613528897634407,-0.0017760355703414445
75,270000,1207625.1690546887,295042.39390289015,8.344199708953797,3.1449741227540593,2.5154215390560913e-05,2.209927867656875e-05,286251694.2080213,255639978.76445222,-678.164951849103,766.3959518088291,-0.002044379073386361,-0.0017960927089884131
76,273600,1237987.5485271837,306653.8803079072,8.433994297915273,3.2254128902825063,2.4942941378188122e-05,2.2344102091235285e-05,283784027.76531935,258375468.9548338,-685.4629007505448,759.858386217105,-0.0020272080281782726,-0.0018159904421455788
77,277200,1268670.4191882908,318558.09345304593,8.523019628085322,3.3067258736496585,2.4729258380568944e-05,2.258693982420899e-05,281290313.7807231,261087168.12599918,-692.6983290545122,753.2497697681579,-0.002009841195546513,-0.0018357267913741984
78,280800,1299670.9807190385,330758.15446730534,8.611267091874337,3.3889058372942835,2.4513184385837704e-05,2.28277676790625e-05,278770779.84684145,263774822.61188436,-699.8705371893517,746.57069052366,-0.0019922800374554002,-0.0018552997901382865
79,284400,1330986.4020495247,343257.15812001226,8.69872814735728,3.471945459085247,2.429473763415075e-05,2.3066561608600993e-05,276225656.05552864,266438180.88877648,-706.978830920219,739.82174358115,-0.0019745260363520454,-0.0018747074840305545
80,288000,1362613.8215985638,356058.1725111398,8.785394319177545,3.5558373308687625,2.4073936616740483e-05,2.330329771764326e-05,273655174.9784075,269076993.6004829,-714.0225214225411,733.0035310295557,-0.0019565806950894694,-0.0018939479309984426
81,291600,1394550.3475165742,369164.2387636322,8.871257199447316,3.6405739590256565,2.3850800074936417e-05,2.3537952265803878e-05,271059571.6471288,271691013.58333695,-721.0009253551905,726.1166619039028,-0.0019384455368470373,-0.001913019201570234
82,295200,1426793.0579316935,382578.37071777135,8.956308448644265,3.726147765038649,2.3625346999152653e-05,2.37705016702757e-05,268439083.5333687,274279995.8910381,-727.9133649333639,719.1617521392105,-0.001920122105048172,-0.001931919379081199
83,298800,1459339.0011991097,396303.5546276221,9.040539796504497,3.812551086069654,2.3397596627842034e-05,2.400092250861248e-05,265793950.52856454,276843697.819323,-734.7591680011552,712.1394245235714,-0.0019016119632753491,-0.0019506465598997515
